beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Deadly Combination: Columbus + Citra","Barrier Brewing Company","IPA - New England / Hazy",7.4,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-14 08:11:52",https://api.untappd.com/c/996434107,https://api.untappd.com/beer/3753727,https://api.untappd.com/brewery/4171,"United States",Oceanside,NY,,,Can,996434107,3753727,4171,,4.1,4.08,,0,0
Ingot,"Hudson Valley Brewery","IPA - Sour",8,0,,"Heart Of Gold","New York",NY,"United States",40.7617,-73.9183,4.75,"2021-02-14 14:57:42",https://api.untappd.com/c/996568840,https://api.untappd.com/beer/4060396,https://api.untappd.com/brewery/169038,"United States",Beacon,NY,"fruity,hibiscus,light bodied",,Draft,996568840,4060396,169038,,4.11,4.02,,0,0
"Sledge O Matic Watermelon","Gun Hill Brewing Company","Blonde / Golden Ale - Other",5,0,"It’s Gallagher!","Heart Of Gold","New York",NY,"United States",40.7617,-73.9183,4,"2021-02-14 15:58:20",https://api.untappd.com/c/996603711,https://api.untappd.com/beer/2772647,https://api.untappd.com/brewery/106148,"United States",Bronx,NY,"watermelon,fruity",,Can,996603711,2772647,106148,https://untappd.s3.amazonaws.com/photos/2021_02_14/4946a18fe7bac5fa6bb6860278557fd6_raw.jpg,3.54,3.62,,0,0
Snowpiercer,"Big aLICe Brewing Co.","Winter Ale",6,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2021-02-15 09:19:11",https://api.untappd.com/c/996796172,https://api.untappd.com/beer/4149587,https://api.untappd.com/brewery/49805,"United States","Long Island City",NY,,,Can,996796172,4149587,49805,,3.78,3.73,,0,0
"Bodega Breakfast Stout","Big aLICe Brewing Co.","Stout - Milk / Sweet",6,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.5,"2021-02-15 23:04:42",https://api.untappd.com/c/996954338,https://api.untappd.com/beer/4047267,https://api.untappd.com/brewery/49805,"United States","Long Island City",NY,,,Can,996954338,4047267,49805,,4.03,3.96,,0,0
"Archipelago Mist","Finback Brewery","Pilsner - Other",5.4,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4.25,"2021-02-15 23:05:03",https://api.untappd.com/c/996954372,https://api.untappd.com/beer/3851077,https://api.untappd.com/brewery/52099,"United States",Queens,NY,,,Can,996954372,3851077,52099,,3.87,3.83,,0,0
"Lagunitas Hoppy Refresher","Lagunitas Brewing Company","Non-Alcoholic Beer - Other",0,0,"Not beer, more like flavored seltzer, but good for what it was.",,,,,,,4.25,"2021-02-21 17:58:53",https://api.untappd.com/c/998994304,https://api.untappd.com/beer/4191382,https://api.untappd.com/brewery/765,"United States",Petaluma,CA,,,Bottle,998994304,4191382,765,,0,0,,0,0
"Void of Light","Gun Hill Brewing Company","Stout - Foreign / Export",7.9,30,,,,,,,,3.75,"2021-02-21 17:59:15",https://api.untappd.com/c/998994496,https://api.untappd.com/beer/712522,https://api.untappd.com/brewery/106148,"United States",Bronx,NY,,,Can,998994496,712522,106148,,3.93,3.93,,0,0
"Morbid Hour","KCBC - Kings County Brewers Collective",Schwarzbier,4.666,0,,,,,,,,4.25,"2021-02-21 17:59:31",https://api.untappd.com/c/998994627,https://api.untappd.com/beer/2415675,https://api.untappd.com/brewery/167520,"United States",Brooklyn,NY,,,Can,998994627,2415675,167520,,3.8,3.79,,0,0
"Evil Eye","Finback Brewery","IPA - American",7.6,70,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-23 08:06:41",https://api.untappd.com/c/999253760,https://api.untappd.com/beer/4132162,https://api.untappd.com/brewery/52099,"United States",Queens,NY,,,Can,999253760,4132162,52099,,4.13,4.07,,0,0
"YOU’RE NOT A REAL NEW YORKER ‘TILL YOU ORDER AN ICE COLD DIPA WITH A SET OF HAND WARMERS","Evil Twin Brewing NYC","IPA - Imperial / Double New England / Hazy",7.8,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-02-24 08:34:43",https://api.untappd.com/c/999431551,https://api.untappd.com/beer/4173991,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,999431551,4173991,420055,,4.18,3.96,,0,0
"IT WAS HIS BIRTHDAY AND THEY DIDN’T EVEN CARE","Evil Twin Brewing NYC","IPA - Sour",7,0,,,,,,,,4.25,"2021-02-25 09:47:12",https://api.untappd.com/c/999641323,https://api.untappd.com/beer/4165621,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Draft,999641323,4165621,420055,https://untappd.s3.amazonaws.com/photos/2021_02_25/98a60b8f70429ae37553e801d9993610_raw.jpg,4.01,3.93,,1,0
"HOW MUCH CHEESE IS EVEN MORE CHEESE?","Evil Twin Brewing NYC","Sour - Smoothie / Pastry",6,0,,,,,,,,4.25,"2021-02-25 09:48:16",https://api.untappd.com/c/999641381,https://api.untappd.com/beer/4091547,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Draft,999641381,4091547,420055,,4.33,4.21,,1,0
"GREENHOUSE BLACK LAGER","Evil Twin Brewing NYC","Lager - Dark",4.75,0,,,,,,,,4.5,"2021-02-25 09:48:38",https://api.untappd.com/c/999641404,https://api.untappd.com/beer/4123341,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Draft,999641404,4123341,420055,,3.7,3.7,,0,0
Antithesis,"Wild East Brewing Co.","IPA - American",7,70,,,,,,,,4,"2021-02-25 09:49:06",https://api.untappd.com/c/999641438,https://api.untappd.com/beer/4131156,https://api.untappd.com/brewery/391055,"United States",Brooklyn,NY,,,Draft,999641438,4131156,391055,,3.85,3.81,,1,0
"Special Effects IPA","Brooklyn Brewery","Non-Alcoholic Beer - IPA",0.4,40,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2021-03-05 09:31:18",https://api.untappd.com/c/1002231604,https://api.untappd.com/beer/4101459,https://api.untappd.com/brewery/259,"United States",Brooklyn,NY,,,Can,1002231604,4101459,259,,2.99,3,,0,0
"Black Forest","Grimm Artisanal Ales","Sour - Other",7.5,0,,"Heart Of Gold","New York",NY,"United States",40.7617,-73.9183,4.75,"2021-03-21 16:21:54",https://api.untappd.com/c/1008550514,https://api.untappd.com/beer/4146280,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,Bottle,1008550514,4146280,72844,,4.01,3.91,,0,0
"Morning Shakeout","Timber Ales","Stout - Coffee",8,0,,,,,,,,4,"2021-03-23 08:41:38",https://api.untappd.com/c/1008892928,https://api.untappd.com/beer/3801909,https://api.untappd.com/brewery/396873,"United States","New York",NY,,,Can,1008892928,3801909,396873,,4.06,4.03,,1,0
"An Interesting Mix","Other Half Brewing Co.","IPA - Imperial / Double",8.5,0,,,,,,,,4,"2021-03-23 08:41:57",https://api.untappd.com/c/1008892935,https://api.untappd.com/beer/4187187,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,Can,1008892935,4187187,94785,,4.2,4.07,,0,0
"ORANGE VANILLA COLA J.R.E.A.M.","Evil Twin Brewing NYC","Sour - Fruited",4.8,0,,,,,,,,4.25,"2021-03-23 08:42:34",https://api.untappd.com/c/1008892955,https://api.untappd.com/beer/4049155,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,1008892955,4049155,420055,,3.52,3.56,,0,0
"Ideal Dream","Other Half Brewing Co.","IPA - American",6.5,0,,,,,,,,3.5,"2021-03-23 08:42:49",https://api.untappd.com/c/1008892963,https://api.untappd.com/beer/4173966,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,Can,1008892963,4173966,94785,,4.12,4.06,,0,0
"DDH Double Space Cut","Other Half Brewing Co.","IPA - Imperial / Double",8,0,,,,,,,,4,"2021-03-23 08:43:11",https://api.untappd.com/c/1008892980,https://api.untappd.com/beer/4156562,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,,1008892980,4156562,94785,,4.19,4.14,,0,0
"Flute Solo","Fifth Hammer Brewing Co.","Belgian Blonde",7,0,,,,,,,,3.75,"2021-03-23 08:44:30",https://api.untappd.com/c/1008893032,https://api.untappd.com/beer/3918435,https://api.untappd.com/brewery/362426,"United States","Long Island City",NY,,,Draft,1008893032,3918435,362426,,3.88,3.82,,0,0
"Harbinger of Spring",Folksbier,"Bock - Hell / Maibock / Lentebock",6,0,,,,,,,,4.25,"2021-03-23 08:44:54",https://api.untappd.com/c/1008893049,https://api.untappd.com/beer/3777965,https://api.untappd.com/brewery/157324,"United States",Brooklyn,NY,,,Draft,1008893049,3777965,157324,,3.98,3.85,,0,0
"Queens Lager (Chai)","Queens Brewery","Lager - American",5,0,,,,,,,,3.25,"2021-03-23 08:45:21",https://api.untappd.com/c/1008893065,https://api.untappd.com/beer/4006714,https://api.untappd.com/brewery/72689,"United States",Ridgewood,NY,,,Draft,1008893065,4006714,72689,,3.88,3.7,,0,0
